,input,filtered,denoisedF,denoisedR,merged,nonchim
ABB357,6142,5451,5447,5445,5445,5445
ABB358,2066,1726,1723,1723,1723,1723
ABB359,1458,1114,1114,1114,1114,1114
ABB360,25509,24002,23995,23984,23345,23345
ABB361,38724,35841,35790,35798,34747,34747
ABB362,63405,58752,58709,58733,57164,56227
ABB363,60375,55226,54981,55126,53520,51573
ABB364,51392,47193,47082,47176,45861,44800
ABB365,85689,80822,80782,80814,78718,78621
ABB366,36054,33012,32948,32982,32093,31148
ABB367,30983,28600,28545,28595,27822,27783
ABB368,22073,20565,20505,20554,19976,19882
ABB369,48385,44221,44161,44198,42957,42463
ABB370,63626,57880,57795,57861,56272,55456
ABB371,45178,42175,41997,42074,40798,36564
ABB372,54093,49951,49854,49844,48521,46729
ABB373,58808,54623,54587,54604,53190,52167
ABB374,39645,36610,36592,36592,35809,35380
ABB375,35936,33678,33597,33672,32645,32645
ABB376,23272,21697,21655,21693,21042,20726
ABB377,45665,40681,40650,40663,39560,39524
ABB378,25632,23607,23597,23567,22937,22937
ABB379,63002,59169,59118,59157,57669,56350
ABB380,185886,165636,162152,164035,156290,152500
ABB381,267185,240677,236075,238232,226480,223669
ABB382,186499,169268,165364,167295,158258,152748
ABB383,148123,132011,127839,129437,120286,119069
ABB384,135525,121847,118639,119989,112155,110916
ABB385,173946,156569,153543,155455,149178,147553
ABB386,202190,185015,181969,183619,175060,173038
ABB387,145416,132175,130191,131425,126770,123796
ABB388,181815,163201,160249,162099,155186,152283
ABB389,213285,193360,189908,191903,183720,181067
ABB390,212046,193028,188864,191046,180001,177424
ABB391,170375,152077,148295,150308,141502,139603
ABB392,122625,110746,107974,109145,101854,100815
ABB393,160708,146727,144382,145534,138822,135544
ABB394,71613,65853,65426,65618,64366,55095
ABB395,153701,138789,136013,137051,130927,123074
ABB396,189541,170433,166733,169106,161812,157861
ABB397,183131,163611,159629,162278,155033,151291
ABB398,158834,142422,139639,141447,135471,133319
ABB399,146824,130956,127761,129738,123482,121257
ABB400,144772,130342,126902,129238,122071,119827
ABB401,195113,174675,171254,173390,166228,162827
ABB402,224524,201363,196434,199616,189736,185340
ABB403,212588,191277,187247,189742,180641,163282
ABB404,13934,11936,11907,11895,11839,10961
ABB405,224153,202032,198933,200984,193590,189088
ABB406,6365,5449,5444,5448,5392,4871
ABB407,2087,1640,1636,1637,1636,1636
